x,y,species cloglog values
500.0,500.0,0.62330157
501.0,501.0,0.6319602
502.0,502.0,0.62330157
503.0,503.0,0.6319602
504.0,504.0,0.6319602
505.0,505.0,0.6319602
506.0,506.0,0.6319602
507.0,507.0,0.62330157
508.0,508.0,0.6319602
509.0,509.0,0.62330157
510.0,510.0,0.59380126
511.0,511.0,0.6319602
512.0,512.0,0.6319602
513.0,513.0,0.6319602
514.0,514.0,0.6319602
515.0,515.0,0.54268605
516.0,516.0,0.6319602
517.0,517.0,0.6319602
518.0,518.0,0.6319602
519.0,519.0,0.6555937
520.0,520.0,0.6319602
521.0,521.0,0.62330157
522.0,522.0,0.6469464
523.0,523.0,0.6319602
524.0,524.0,0.6319602
525.0,525.0,0.6319602
526.0,526.0,0.62330157
527.0,527.0,0.6319602
528.0,528.0,0.6319602
529.0,529.0,0.6555937
530.0,530.0,0.6319602
531.0,531.0,0.6555937
532.0,532.0,0.6319602
533.0,533.0,0.62330157
534.0,534.0,0.6319602
535.0,535.0,0.6319602
536.0,536.0,0.59380126
537.0,537.0,0.6319602
538.0,538.0,0.6319602
539.0,539.0,0.6319602
540.0,540.0,0.62330157
541.0,541.0,0.6319602
542.0,542.0,0.62330157
543.0,543.0,0.6319602
544.0,544.0,0.6319602
545.0,545.0,0.6319602
546.0,546.0,0.6319602
547.0,547.0,0.6319602
548.0,548.0,0.6319602
549.0,549.0,0.5851979
550.0,550.0,0.6319602
551.0,551.0,0.6319602
552.0,552.0,0.6319602
553.0,553.0,0.6319602
554.0,554.0,0.6319602
555.0,555.0,0.6319602
556.0,556.0,0.6319602
557.0,557.0,0.6319602
558.0,558.0,0.6319602
559.0,559.0,0.6319602
560.0,560.0,0.6319602
